username,level,xp,gold,wins
DragonSlayer99,25,15000,5000,42
CoolCat2024,12,3500,1200,15
ProGamer,42,89000,25000,128
Noob123,3,250,100,1
StreamQueen,31,45000,12000,67
ShadowNinja,28,22000,8500,55
PixelWarrior,19,9800,3200,28
MysticMage,35,52000,15500,89
ThunderBolt,8,1800,600,7
IceQueen,44,95000,28000,142
GhostRider,22,14500,4800,38
StarDestroyer,16,6200,2100,19
NeonKnight,38,68000,19000,103
CyberPunk,11,2900,950,12
LunarWolf,29,28000,9200,61
PhoenixRising,47,120000,35000,167
CrimsonBlade,20,11000,3600,31
ArcticFox,14,4800,1600,17
VoidWalker,33,48000,14000,78
StormChaser,26,18500,6100,47
DiamondDust,9,2100,700,9
RogueAgent,41,82000,24000,119
MidnightOwl,17,7500,2500,22
SolarFlare,36,58000,17000,94
TitanForce,6,1200,400,4
EmeraldDragon,30,35000,10500,65
SilverArrow,23,16000,5300,41
NovaStar,45,98000,29000,148
BlazeFury,13,4100,1350,14
CrystalShard,39,72000,21000,108
OmegaWolf,21,12500,4100,35
ZenMaster,48,125000,38000,175
QuantumLeap,7,1500,500,6
VenomStrike,34,50000,14800,82
ElectricDream,18,8600,2850,25
RubyHeart,27,20000,6600,52
IronClad,10,2500,820,10
MysticRaven,43,91000,27000,135
CosmicRay,15,5500,1850,18
DarkMatter,37,62000,18000,98
WildCard,24,17200,5700,44
FrostBite,32,42000,12500,72
GoldenEagle,5,900,300,3
SteelNerve,40,78000,23000,115
NebulaKing,49,130000,40000,182
ChaosTheory,4,600,200,2
LightningBug,46,105000,31000,155
SpectralGhost,50,150000,50000,200
